"unique(temp$series)"
"1","VGR01"
"2","VGR02"
"3","VGR03"
"4","VGR04"
"5","VGR05"
"6","VGR06"
"7","VGR07"
"8","VGR08"
"9","VGR09"
"10","VGR10"
"11","VGR11"
"1","EFK01"
"2","EFK02"
"3","EFK03"
"4","EFK04"
"5","EFK05"
"6","EFK06"
"7","EFK07"
"8","EFK08"
"9","EFK09"
"10","EFK10"
"11","EFK11"
"12","EFK12"
"13","EFK13"
"14","EFK14"
"15","EFK15"
"1","MCN332"
"2","MCN334"
"3","MCN335"
"4","MCN331"
"5","MCN248"
"6","MCN249"
"1","SBN-1"
"2","SBN-10"
"3","SBN-2"
"4","SBN-3"
"5","SBN-4"
"6","SBN-5"
"7","SBN-6"
"8","SBN-7"
"9","SBN-8"
"10","SBN-9"
"1","SNN1"
"2","SNN11"
"3","SNN12"
"4","SNN13"
"5","SNN14"
"6","SNN15"
"7","SNN16"
"8","SNN19"
"9","SNN2"
"10","SNN20"
"11","SNN31"
"12","SNN32"
"13","SNN33"
"14","SNN35"
"15","SNN37"
"16","SNN39"
"17","SNN42"
"18","SNN43"
"19","SNN49"
"20","SNN5"
"21","SNN80"
"22","SNN83"
"23","SNN90"
"24","SNN91"
"25","SNN92"
"26","SNN93"
"1","VGR01"
"2","VGR02"
"3","VGR03"
"4","VGR04"
"5","VGR05"
"6","VGR06"
"7","VGR07"
"8","VGR08"
"9","VGR09"
"10","VGR10"
"11","VGR11"
"1","VSLD001"
"2","VSLD003"
"3","VSLD005"
"4","VSLD007"
"5","VSLD009"
"6","VSLD015"
"7","VSLD019"
"8","VSLD002"
"9","VSLD006"
"10","VSLD004"
"11","VSLD013"
